1	4	85	103
1	16	90	107
1	30	83	100
1	12	102	124
1	27	90	97
1	11	109	129
1	2	88	106
1	22	85	104
1	6	99	105
1	31	98	107
1	23	100	116
1	5	81	90
1	9	104	125
1	16	85	90
1	8	87	107
1	17	110	130
1	25	91	93
1	5	76	76
1	14	87	108
1	20	79	81
1	21	104	105
1	5	83	85
1	8	90	108
1	25	90	99
1	10	95	119
1	24	97	119
1	14	80	92
1	20	90	105
1	9	94	117
1	4	86	110
1	23	83	96
1	30	99	124
1	13	101	103
1	28	100	102
1	7	91	95
1	20	111	125
1	17	90	111
1	4	103	111
1	32	59	62
1	16	93	115
1	26	100	116
1	11	106	131
1	28	104	105
1	12	108	112
1	29	110	115
1	26	108	118
1	13	107	120
1	21	94	115
1	10	103	119
1	17	95	98
1	32	86	109
1	6	98	119
1	22	91	112
1	31	82	89
1	4	90	111
1	2	90	99
1	9	80	88
1	12	97	113
1	27	92	113
1	31	116	116
1	22	80	101
1	16	77	82
1	23	93	110
1	15	112	128
1	28	96	119
1	20	99	108
1	30	116	118
1	31	101	118
1	2	76	82
1	7	93	105
1	12	102	127
1	18	111	135
1	29	86	91
1	17	91	105
1	22	89	95
1	24	114	119
1	18	113	130
1	9	94	102
1	6	100	100
1	30	99	113
1	23	104	123
1	15	119	119
